PARKINGLOT_NO,NAME,ADDRESS,TEL,LAT,LOG
42,개봉역(북),서울특별시 구로구 개봉동 353-23,02-850-0916,37.495,126.856
43,개봉역(중앙),서울특별시 구로구 개봉동 403-10,031-405-8808,37.494,126.856
44,개화산역,서울특별시 강서구 방화동 845,02-2662-6415,37.572,126.806
45,개화역,서울특별시 강서구 개화동로8길 19 (개화동),02-2290-6312,37.578,126.798
46,공항동(송정역),서울특별시 강서구 공항동 42-8,,37.560,126.811
47,관철동,서울특별시 종로구 청계천로 83 (관철동),02-738-0909,37.568,126.987
48,구로고가밑,서울특별시 구로구 구로동 127-30,031-405-8808,37.480,126.889
49,구로디지털단지역,서울특별시 구로구 구로동 1123,02-859-6318,37.485,126.902
50,구로디지털단지역(상),서울특별시 관악구 신사로 7 (신림동),031-405-8808,37.485,126.904
51,구파발역,서울특별시 은평구 진관동 66-30,02-2290-6088,37.638,126.919
52,낙원상가,서울특별시 종로구 낙원동 284-5,02-864-8400,37.573,126.988
53,남대문 시장,서울특별시 중구 남창동 51-4,02-2290-6449,37.560,127.976
54,남대문 초입,서울특별시 중구 남창동 소월길 51-4,02-2290-6449,37.560,126.976
55,남대문 화물,서울특별시 중구 남대문로 4가 24-1(남대문로 18),02-2663-6209,37.561,126.977
56,남부여성발전센터,서울특별시 금천구 독산로50길 23 (시흥동),070-7119-2603,37.463,126.906
57,남산공원 소월로,서울특별시 중구 남대문로5가 450,02-2290-6449,37.555,126.977
58,남산공원 소파로,서울특별시 중구 남창동 205-107,02-2290-6449,37.556,126.978
59,남산소파길,서울특별시 중구 예장동 8-189,,37.557,126.986
60,남산케이블카,서울특별시 중구 소파로 83 (회현동1가),02-2663-6209,37.557,126.984
61,남산파출소,서울특별시 중구 회현동1가 147-32,02-2663-6209,37.555,126.982
62,남산한옥마을,서울특별시 중구 필동2가 83-1,02-2275-6122,37.560,126.993
63,당고개아래,서울특별시 노원구 상계3동 65-40,070-7119-2603,37.668,127.077
64,당고개위,서울특별시 노원구 상계3동 111-568,070-7119-2603,37.671,127.081
65,당고개전철밑,서울특별시 노원구 상계3동 140-66,070-7119-2603,37.664,127.075
66,당산고가밑,서울특별시 영등포구 당산동5가 9-15,032-872-7078,37.533,126.901
67,당산노외,서울특별시 영등포구 당산동3가 2-1,032-872-7078,37.526,126.899
68,대림노외,서울특별시 구로구 구로동 125-32,032-872-7078,37.493,126.894
69,대림역,서울특별시 영등포구 대림동 808-24,032-872-7078,37.493,126.895
70,대림역2,서울특별시 구로구 구로동 73-9,,37.495,126.894
71,도봉로 15길,서울특별시 강북구 미아동 458-7,070-7119-2603,37.617,127.028
72,도봉산,서울특별시 도봉구 도봉동 282-26,070-7119-2603,37.688,127.041
73,도봉산역,서울특별시 도봉구 도봉로 955 (도봉동),02-2290-6047,37.690,127.045
74,독립문고가밑,서울특별시 서대문구 증가로2길 1,02-2663-6209,37.572,126.960
75,독산동 금천교,서울특별시 금천구 독산동 1081-4,031-405-8808,37.467,126.889
76,돈화문로,서울특별시 중구 을지로3가 296-24,02-2272-8821,37.565,126.993
77,동국제강,서울특별시 중구 남대문로10길 13 (삼각동),02-864-8400,37.567,126.983
78,동대문,서울특별시 중구 마장로 22 (신당동),02-2254-4901,37.567,127.012
79,동부청과,서울특별시 동대문구 용두동 8-1,02-2272-8821,37.577,127.045
80,동순라길(종묘),서울특별시 종로구 인의동 112-10,02-2290-6449,37.572,126.997
81,동작대교,서울특별시 동작구 동작대로 335 (동작동),02-2663-6209,37.506,126.980
82,동작대교(위),서울특별시 동작구 동작대로 335 (동작동),031-903-3345,37.506,126.980
83,동호대교(남),서울특별시 강남구 압구정동 435,02-445-0501,37.527,127.028
84,마른내길,서울특별시 중구 마른내로 59 (인현동1가),02-2272-8821,37.564,126.994
85,마른내로,서울특별시 중구 오장동,02-2273-0006,37.564,127.000
86,마포유수지,서울특별시 마포구 마포대로1길 9 (마포동),02-711-8851,37.539,126.943
87,망원동,서울특별시 마포구 월드컵로 131 (망원동),02-300-5053,37.560,126.906
88,명일동,서울특별시 강동구 명일2동 47-9,02-445-0501,37.554,127.156
89,목동노외,서울특별시 양천구 목동 905-32,02-2664-1386,37.533,126.877
90,목동체비지,서울특별시 양천구 목동 908-26,02-2663-6209,37.537,126.881
91,문래1동,서울특별시 영등포구 문래동3가 54-12,032-872-7078,37.513,126.897
92,미근동,서울특별시 서대문구 미근동 267-3,02-360-8527,37.562,126.968
93,방화로,서울특별시 강서구 방화동 796,02-2663-6209,37.570,126.816
94,방화역(동),서울특별시 강서구 방화동 830-4,02-2663-6209,37.577,126.813
95,방화역(서),서울특별시 강서구 방화동 829-1,02-2663-6209,37.578,126.812
96,방화우체국,서울특별시 강서구 방화동 365-5,,37.580,126.815
97,배오개길,서울특별시 중구 창경궁로 33-1 (예관동),02-2272-8821,37.565,126.998
98,보라매상업,서울특별시 동작구 신대방동 431-3,031-903-3345,37.490,126.923
99,복정역,서울특별시 송파구 장지동 561-9,02-3443-9240,37.471,127.127
100,봉천복개3,서울특별시 관악구 신림동 1467-3,031-903-3345,37.488,126.931
101,봉화산역(남),서울특별시 중랑구 신내동647,070-7119-2603,37.616,127.092
102,사당노외,서울특별시 서초구 과천대로 950-18 (방배동),02-582-6417,37.475,126.984
103,상봉복개,서울특별시 중랑구 상봉동 399-4,02-2272-8821,37.594,127.088
104,서린노외,서울특별시 종로구 종로 38 (서린동),02-720-9862,37.570,126.981
105,석계역,서울특별시 노원구 월계동 50-9,070-7119-2603,37.615,127.062
106,성내역,서울특별시 송파구 신천동 11-1,02-445-0501,37.517,127.105
107,성북초교,서울특별시 성북구 성북2동 125,02-914-2008,37.591,127.009
108,세종로,서울특별시 종로구 세종대로 지하 189 (세종로),02-2290-6566,37.573,126.976
109,소파로 TBS앞,서울특별시 중구 예장동 4-7,02-2290-6449,37.560,126.988
110,소파로케이블카앞,서울특별시 중구 회현동1가 산1-15,02-2290-6449,37.556,126.984
111,수락산역,서울특별시 노원구 상계동 1268,02-2290-6407,37.679,127.056
112,수서역,서울특별시 강남구 수서동 735,02-2226-6404,37.488,127.100
113,신대방역,서울특별시 동작구 대림로 2 (신대방동),02-858-6417,37.488,126.913
114,신문로,서울특별시 종로구 새문안로3길 8 (신문로1가),02-720-0964,37.571,126.973
115,신방화역환승주차장,서울특별시 강서구 마곡서1로 111-12,,37.567,126.818
116,신설동 풍물시장,서울특별시 동대문구 난계로28길 16 (신설동),02-2232-6096,37.573,127.024
117,신천유수지,서울특별시 송파구 오금로 1 (신천동),02-414-6417,37.522,127.103
118,압구정고가1,서울특별시 강남구 압구정로 지하 172 (신사동),02-445-0501,37.524,127.028
119,압구정고가2,서울특별시 강남구 압구정로 지하 172 (신사동),02-445-0501,37.524,127.028
120,양평고가밑,서울특별시 양천구 목동 900-8,02-2663-6209,37.539,126.884
121,양평동(동),서울특별시 영등포구 양평동5가 44-1(양평교하부),032-872-7078,37.540,126.890
122,여의서로,서울특별시 영등포구 여의도동 8-1,031-903-3345,37.529,126.930
123,영남,서울특별시 영등포구 영등포로34길 9 (영등포동4가),070-7119-2603,37.519,126.903
124,영동6교밑,서울특별시 강남구 대치동 512-1,02-445-0501,37.495,127.070
125,영동대교 북단,서울특별시 성동구 성수동 231-24(성수동2가),02-2204-7970,37.537,127.061
126,영등포구청역,서울특별시 영등포구 당산동3가 370-3,02-2290-6089,37.525,126.895
127,영등포로터리,서울특별시 영등포구 영등포동1가 111-1,032-872-7078,37.518,126.911
128,영보빌딩,서울특별시 강서구 가양동 1480-10,02-2663-6209,37.563,126.853
129,옥수역,서울특별시 성동구 옥수동 401-1,02-445-0501,37.542,127.017
130,온수역(남),서울특별시 구로구 온수동51-26,031-405-8808,37.492,126.824
131,온수역(북),서울특별시 구로구 온수동20-1,,37.493,126.821
132,올림픽대교(북),서울특별시 광진구 구의동 올림픽대교(하부),02-2049-4500,37.534,127.104
133,용산등기소,서울특별시 용산구 문배동 12-1,02-2663-6209,37.537,126.969
134,용산주차빌딩,서울특별시 용산구 새창로49길 42 (한강로2가),02-2290-6014,37.539,127.002
135,웃우물,서울특별시 양천구 중앙로 310 (신정동),02-2290-6311,37.524,126.851
136,원효대교 남단,서울특별시 영등포구 여의도동 5,031-903-3345,37.520,126.933
137,월계역,서울특별시 노원구 월계동 589-3,02-2289-6723,37.633,127.059
138,을지로,서울특별시 중구 을지로3가 282-8,02-2272-8821,37.566,126.994
139,일원동,서울특별시 강남구 양재대로55길 6 (일원동),,37.491,127.088
140,일원역,서울특별시 강남구 일원본동 716-2,02-445-0501,37.485,127.084
141,일원터널,서울특별시 강남구 광평로 61 (일원동),,37.483,127.079
142,잠실역,서울특별시 송파구 올림픽로 300 (신천동),02-2290-6402,37.513,127.104
143,장안2동,서울특별시 동대문구 답십리로65길 124-5 (장안동),02-2290-6417,37.578,127.071
144,장충단로(한남광장),서울특별시 용산구 한남동 산9-19,02-2290-6449,37.548,127.003
145,적선동 노외,서울특별시 종로구 적선동 140,02-2264-4895,37.574,126.974
146,제물포로,서울특별시 강서구 화곡동 947-3,02-2663-6209,37.528,126.845
147,제방도로,서울특별시 구로구 구로동 69-2,032-872-7078,37.498,126.893
148,종묘,서울특별시 종로구 종로 155,02-741-5238,37.574,126.994
149,종암1동,서울특별시 성북구 종암동 133-8,02-914-2008,37.599,127.031
150,중앙일보사,서울특별시 중구 서소문로 88 (순화동),02-2290-6449,37.561,127.971
151,증가로,서울특별시 서대문구 증가로 261 (북가좌동),02-360-8527,37.584,126.911
152,진흥로,서울특별시 은평구 역촌동41-8,02-2663-6209,37.602,126.921
153,창동역,서울특별시 도봉구 마들로11길 74 (창동),02-2290-6387,37.655,127.051
154,창동역(서),서울특별시 도봉구 노해로65길 17-6 (창동),070-7119-2603,37.652,127.046
155,천왕역,서울특별시 구로구 오류동 174-10,02-2060-5026,37.487,126.839
156,천호역,서울특별시 강동구 천호대로 1015,02-2290-6201,37.539,127.125
157,청계1,서울특별시 종로구 관철동 13-14,02-864-8400,37.569,126.988
158,청계2,서울특별시 종로구 관수동 91-4,02-864-8400,37.569,126.992
159,청계3,서울특별시 종로구 예지동 140-1,02-864-8400,37.569,126.997
160,청계5,서울특별시 종로구 종로5가 458-2,02-864-8400,37.570,127.006
161,청계5가,서울특별시 중구 을지로6가 17-442,02-2265-3531,37.570,127.008
162,청계6,서울특별시 종로구 종로6가 289-49,02-864-8400,37.570,127.008
163,청계7,서울특별시 종로구 창신동 436-87,02-864-8400,37.570,127.016
164,청계8,서울특별시 동대문구 신설동 109-2,02-2272-8821,37.571,127.025
165,청계8가,서울특별시 중구 청계천 8가,02-2280-8369,37.571,127.018
166,탑골공원,서울특별시 종로구 대학로5길 97,02-2290-6449,37.571,126.988
167,학여울역,서울특별시 강남구 대치동 514-1,02-569-7741,37.495,127.070
168,한강대교(남),서울특별시 동작구 본동 5-5,031-903-3345,37.513,126.957
169,한강진역,서울특별시 용산구 한남동 산10-84,02-795-6406,37.539,127.002
170,해군본부앞,서울특별시 영등포구 신길동 812,031-903-3345,37.504,126.921
171,해방촌노외,서울특별시 용산구 소월로20길 56 (용산동2가),02-2663-6209,37.544,126.984
172,화랑대역,서울특별시 중랑구 묵동 28,02-2290-6410,37.620,127.087
173,훈련원 화물대기,서울특별시 중구 을지로 227 (을지로5가),02-2290-6382,37.567,127.004
174,해공공영주차장,서울특별시 강동구 구천면로 29길 11,02-470-0988,37.541,127.129
175,천호유수지공영주차장,서울특별시 강동구 선사로 70,02-473-3124,37.545,127.122
176,천호1동공영주차장,서울특별시 강동구 구천면로 42길 60,02-487-0073,37.545,127.136
177,천호2동공영주차장,서울특별시 강동구 천호동 457-7,070-7547-3512,37.540,127.123
178,천호3동공영주차장,서울특별시 강동구 진황도로 29길 34,02-472-0066,37.539,127.133
179,온조대왕옆공영주차장,서울특별시 강동구 동남로 918,02-2045-7800,37.558,127.157
180,안말공영주차장,서울특별시 강동구 풍성로 45길 11,02-482-3194,37.531,127.130
181,암사1동공영주차장,서울특별시 강동구 고덕로 28길 36,02-428-2431,37.553,127.138
182,강일동공영주차장,서울특별시 강동구 아리수로 91길 54,02-427-6124,37.566,127.172
183,명일동공영주차장,서울특별시 강동구 구천면로 395,02-442-6124,37.551,127.143
184,고분다리전통시장공영주차장,서울특별시 강동구 구천면로 36길 7,070-7547-3512,37.543,127.132
185,천호2동제2노상주차장,서울특별시 강동구 천호대로 151길,02-478-6147,37.540,127.123
186,주양쇼핑옆노상주차장,서울특별시 강동구 고덕로 62길,02-478-6147,37.553,127.153
187,강일동노상주차장,서울특별시 강동구 아리수로 93길 9-14,02-478-6147,37.565,127.173
188,주양쇼핑앞노상주차장,서울특별시 강동구 동남로 71길,02-478-6147,37.552,127.155
189,천호3동제2공영주차장,서울특별시 강동구 성안로31마길 1,070-7547-3512,37.541,127.134
190,성수역3번출구 앞,서울특별시 성동구 성수이로 (성수2가 315),02-2204-7970,37.543,127.057
191,KT성수분국 앞,서울특별시 성동구 아차산로9길 48,02-2204-7970,37.545,127.061
192,마장축산물시장 남문,서울특별시 성동구 마장로39가길 32 (마장동),02-2204-7970,37.568,127.041
193,마장축산물시장 북문,서울특별시 성동구  (마장동 804)766,02-2204-7970,37.571,127.040
194,마장현대아파트 앞,서울특별시 성동구 마장로35길 76(마장동),02-2204-7970,37.570,127.043
195,장한평자동차시장 가동,서울특별시 성동구 자동차시장1길 (용답동),02-2204-7970,37.561,127.059
196,한전변전소 뒤,서울특별시 성동구 마장로35길 34(마장동),02-2204-7970,37.568,127.038
197,마장주민센터앞,서울특별시 성동구 마장로42길 6(마장동),02-2204-7970,37.566,127.046
198,마장동대형버스(버스),서울특별시 성동구 마장로33길 79 (마장동),02-2204-7970,37.566,127.045
199,(지정)강변,서울특별시 성동구 둘레길 47-5(성수동1가),02-2204-7970,37.537,127.049
200,금호초등학교(건물),서울특별시 성동구 무수막길 69(금호동2가),02-2204-7970,37.552,127.019
201,성수2가1동(건물),서울특별시 성동구 성덕정길 115(성수동2가),02-2204-7970,37.537,127.056
202,송정동 (건물),서울특별시 성동구 동일로 199(송정동),02-2204-7970,37.550,127.068
203,하왕십리(건물),서울특별시 성동구 무학봉길 48(행당동 347-3)1,02-2204-7970,37.561,127.028
204,성수2가3동(건물),서울특별시 성동구 광나루로4가길 23(성수동2가),02-2204-7970,37.549,127.055
205,응봉동(건물),서울특별시 성동구 독서당로63길 40(행당동),02-2204-7970,37.553,127.031
206,용답동(건물),서울특별시 성동구 용답29길 22(용답동),02-2204-7970,37.564,127.054
207,살곶이 공영주차장,서울특별시 성동구 사근동 104서울특별시 성동구 사근동 104,02-2204-7970,37.554,127.047
208,응봉동(평면),서울특별시 성동구 독서당로63길 40(행당동),02-2204-7970,37.551,127.035
209,도선동,서울특별시 성동구 무학로8길 8(홍익동),02-2204-7970,37.566,127.032
210,홍익동(건물),서울특별시 성동구 무학로10길 28(홍익동),02-2204-7970,37.566,127.034
211,강변(건물),서울특별시 성동구 둘레길 47-5(성수동1가),02-2204-7970,37.537,127.049
212,마장동(건물),서울특별시 성동구 청계천로10나길 38(마장동),02-2204-7970,37.570,127.035
213,성수1가2동(평면),서울특별시 성동구 상원10길 21(성수동1가),02-2204-7965,37.550,127.050
214,마장동축산물시장(평면),서울특별시 성동구 마장동 525,02-2204-7970,37.572,127.040
215,용답제2공영주차장,서울특별시 성동구 천호대로78길 9(용답동),02-2204-7970,37.563,127.056
216,마장동축산물 서문,서울특별시 성동구 고산자로26길 6(마장동),02-2204-7970,37.571,127.039
217,성수1가1동(건물),서울특별시 성동구 성덕정1길 6(성수동1가),02-2204-7970,37.540,127.046
218,구청앞주차장,서울특별시 강북구 한천로139길,02-944-3025,37.639,127.026
219,수유2동주차장,서울특별시 강북구 한천로160길 40,02-900-7443,37.646,127.022
220,우이동주차장,서울특별시 강북구 삼양로155길 33,02-944-3049,37.657,127.012
221,송천동주차장,서울특별시 강북구 숭인로7나길 23,02-944-3039,37.615,127.025
222,대지시장길주차장,서울특별시 강북구 솔샘로 243-8,02-944-3035,37.620,127.020
223,송중동주차장,서울특별시 강북구 월계로7길 36,02-944-3038,37.612,127.034
224,구세군길주차장,서울특별시 강북구 인수봉로20가길 21,02-944-3025,37.626,127.014
225,번2동주차장,서울특별시 강북구 오현로21길 6,02-944-3025,37.627,127.037
226,색동공원주차장,서울특별시 강북구 삼양로80나길 56,02-985-3492,37.633,127.021
227,인수동주차장,서울특별시 강북구 삼양로92길 34,02-944-3045,37.635,127.019
228,송중동(임시)주차장,서울특별시 강북구 도봉로8길 67,02-944-3025,37.611,127.034
229,교통광장주차장,서울특별시 강북구 삼양로 678,02-944-3027,37.662,127.008
230,시범주차장,서울특별시 강북구 한천로139가길 10,02-944-3029,37.640,127.026
231,으뜸공원주차장,서울특별시 강북구 삼양로54길 133,02-944-3025,37.620,127.028
232,벽산주차장,서울특별시 강북구 삼각산로 140,02-944-3025,37.641,127.020
233,빨래골주차장,서울특별시 강북구 수유로 30,02-944-3025,37.633,127.019
234,아카데미주차장,서울특별시 강북구 419로25길,02-944-3025,37.635,127.019
235,큰마을길주차장,서울특별시 강북구 삼양로54길 125,02-944-3025,37.624,127.025
236,나눔터길주차장,서울특별시 강북구 수유로 47,02-944-3025,37.635,127.019
237,가오천주차장,서울특별시 강북구 한천로150길 46,02-944-3025,37.644,127.025
238,교육청길주차장,서울특별시 강북구 도봉로20가길 3,02-944-3025,37.619,127.030
239,어울림소공원주차장,서울특별시 강북구 오현로 56,02-944-3025,37.619,127.036
240,수유마을시장주차장,서울특별시 강북구 도봉로69길 27,02-944-3053,37.631,127.022
241,번동햇살주차장,서울특별시 강북구 오현로21길 84,02-944-3044,37.625,127.033
242,수유쌈지주차장,서울특별시 강북구 도봉로 265,02-944-3025,37.632,127.024
243,미아동주차장,서울특별시 강북구 도봉로61길 46,02-944-3048,37.629,127.022
244,삼양마을공원주차장,서울특별시 강북구 삼양로47길 15,02-944-3047,37.623,127.018
245,청암주차장,서울특별시 강북구 솔매로22가길 20,02-944-3025,37.625,127.015
246,수유일공원주차장,서울특별시 강북구 삼양로79길 5,02-944-3042,37.631,127.017
247,삼양시장길주차장,서울특별시 강북구 솔매로7가길,02-944-3025,37.626,127.016
248,가오리주차장,서울특별시 강북구 삼양로107길 30,02-944-3046,37.642,127.015
249,냉천길주차장,서울특별시 강북구 삼양로 230-12,02-944-3040,37.624,127.020
250,은혜(무인)주차장,서울특별시 강북구 삼양로67길 16,02-944-3025,37.628,127.017
251,오패산주차장,서울특별시 강북구 도봉로34길 54,02-944-3041,37.622,127.031
252,낙성대제1공영주차장,서울특별시 관악구 봉천로 62길 일대,02-2081-2678,37.478,126.959
253,낙성대제2공영주차장,서울특별시 관악구 낙성대로 3길 일대,02-2081-2678,37.474,126.960
254,난곡동제1공영주차장,서울특별시 관악구 난곡로34길 71,02-2081-2679,37.472,126.923
255,난우중공영주차장,서울특별시 관악구 난곡로 16길 32,02-2081-2679,37.467,126.923
256,남부초공영주차장,서울특별시 관악구 남부순환로 163길 14,02-2081-2679,37.485,126.922
257,당곡중공영주차장,서울특별시 관악구 봉천로 13길 101,02-2081-2679,37.492,126.933
258,미성동제4공영주차장,서울특별시 관악구 난우10가길 2,02-2081-2679,37.476,126.920
259,보라매제1공영주차장,서울특별시 관악구 봉천로 21길 38,02-2081-2679,37.489,126.935
260,삼성동제1공영주차장,서울특별시 관악구 원신길 78~224구간,02-2081-2678,37.469,126.931
261,서원동제1공영주차장,서울특별시 관악구 관천로 32~44구간,02-2081-2678,37.482,126.929
262,신림동제1공영주차장,서울특별시 관악구 관천로 98,02-2081-2679,37.487,126.923
263,신림동제2공영주차장,서울특별시 관악구 관천로 66 일대,02-2081-2678,37.485,126.926
264,신사동제1공영주차장,서울특별시 관악구 남부순환로 153길 51,02-2081-2679,37.484,126.915
265,신사시장공영주차장,서울특별시 관악구 관천로19길 87-1,02-2081-2679,37.487,126.918
266,신원시장공영주차장,서울특별시 관악구 관천로 29,02-2081-2679,37.482,126.928
267,원신공영주차장,서울특별시 관악구 양지길 63,02-2081-2679,37.470,126.929
268,조원동제1공영주차장,서울특별시 관악구 조원중앙로2길 19,02-2081-2679,37.481,126.906
269,조원동제2공영주차장,서울특별시 관악구 조원로 4~34구간,02-2081-2678,37.484,126.903
270,행운동제1공영주차장,서울특별시 관악구 행운4길 21,02-2081-2678,37.480,126.960
271,흑석빗물펌프장,서울특별시 동작구 서달로15길 6,02-826-5627,37.508,126.963
272,대방생태,서울특별시 동작구 대방로1길 9,02-826-3135,37.500,126.927
273,구릉,서울특별시 동작구 여의대방로24차길 34,02-816-1494,37.499,126.927
274,서광,서울특별시 동작구 신대방11길 32,02-833-0919,37.489,126.908
275,한누리,서울특별시 동작구 남부순환로267길 6-1,02-597-9219,37.477,126.977
276,도화,서울특별시 동작구 성대로17길지하 52,02-811-0983,37.500,126.935
277,동작주차공원,서울특별시 동작구 현충로 213,02-537-2849,37.504,126.976
278,보라매공원동문,서울특별시 동작구 보라매로5길 28,070-7204-3271,37.494,126.924
279,동작구청부설,서울특별시 동작구 장승배기로 161,02-820-1440,37.512,126.940
280,빙수골장미,서울특별시 동작구 국사봉16길 40,02-812-0986,37.494,126.933
281,보라매병원앞,서울특별시 동작구 보라매로5길 44,02-832-2445,37.492,126.923
282,동작갯마을,서울특별시 동작구 동작대로 213,02-3481-6830,37.496,126.983
283,반포복개천,서울특별시 서초구 반포4동  57주변,02-2155-7287,37.504,127.010
284,방배복개도로 제1지역,서울특별시 서초구 방배동 493-3,02-2155-7289,37.478,126.983
285,방배복개도로 제2지역,서울특별시 서초구 방배동 493-5,02-2155-7289,37.483,126.983
286,방배역,서울특별시 서초구 방배동 910-16,02-2155-7289,37.482,126.997
287,방배중앙로,서울특별시 서초구 방배본동 760-3일대,02-2155-7289,37.495,126.986
288,교대역동측,서울특별시 서초구 서초대로 314,02-2155-7274,37.494,127.016
289,시민의숲동측,서울특별시 서초구 양재2동 237,02-2155-7290,37.473,127.038
290,청계산근린광장,서울특별시 서초구 원지동 361-6,02-2155-7290,37.446,127.056
291,반포서래,서울특별시 서초구 사평대로22길31,02-2155-7287,37.498,126.998
292,청계산청룡,서울특별시 서초구 신원동 224-3일대,02-2155-7290,37.447,127.060
293,양재시민의숲,서울특별시 서초구 양재2동237-2,02-2155-7290,37.470,127.038
294,서초역 주차빌딩,서울특별시 서초구 반포대로28길7,02-2155-7274,37.491,127.009
295,양재주차빌딩,서울특별시 서초구 양재천로125-10,02-2155-7290,37.478,127.041
296,구룡주차빌딩,서울특별시 서초구 동산로19길37,02-2155-7290,37.474,127.046
297,언구비 주차빌딩,서울특별시 서초구 강남대로83길55,02-2155-7287,37.505,127.021
298,미도아파트 앞 주차빌딩,서울특별시 서초구 서초중앙로31길14-5,02-2155-7287,37.500,127.010
299,이수 주차빌딩,서울특별시 서초구 방배중앙로193,02-2155-7289,37.496,126.985
300,중앙로 공영 주차빌딩,서울특별시 서초구 방배중앙로25,02-2155-7289,37.482,126.992
301,동산마을 공영주차장,서울특별시 서초구 강남대로8길77,02-2155-7290,37.470,127.044
302,구룡공원 노외공영주차장,서울특별시 서초구 논현로5길29,02-2155-7290,37.472,127.049
303,반포동 방음언덕형 공영주차장,서울특별시 서초구 반포1동 730일대,02-2155-7287,37.504,127.018
304,서래마을구립 공영주차장,서울특별시 서초구 서래로4길5,02-2155-7287,37.497,126.998
305,언남문화체육 센터공영주차장,서울특별시 서초구 동산로55,02-2155-7290,37.473,127.044
306,무궁화 노외공영주차장,서울특별시 서초구 서초대로54길45,02-2155-7274,37.492,127.017
307,잠원동 방음언덕형 공영주차장,서울특별시 서초구 잠원동89-5,02-2155-7287,37.516,127.016
308,서초구립 반포2동,서울특별시 서초구 신반포로15길6,02-2155-7287,37.405,126.996
309,반포4동 주민센터 공영주차장,서울특별시 서초구 사평대로28길 70,02-2155-7287,37.497,127.000
310,방배열린 문화센터,서울특별시 서초구 방배로173,02-2155-7289,37.489,126.992
311,양재2동주민센터 공영주차장,서울특별시 서초구 강남대로12길 44,02-2155-7290,37.471,127.041
